rebalance_date,ticker,weight,estimation_start,estimation_end,solver_success,solver_message,asset_class,fund_id,fund_name,family,method
2022-10-01,TRX-USD,0.13320289540754832,2021-10-01,2022-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-11-01,TRX-USD,0.13525623825622254,2021-11-01,2022-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-12-01,TRX-USD,0.1431095671289171,2021-12-01,2022-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-01-01,TRX-USD,0.14415943797970565,2022-01-01,2022-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-02-01,TRX-USD,0.14686123872287957,2022-02-01,2023-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-03-01,TRX-USD,0.14524566722853025,2022-03-01,2023-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-04-01,TRX-USD,0.1393503293571275,2022-04-01,2023-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-05-01,TRX-USD,0.14178298217905513,2022-05-01,2023-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-06-01,TRX-USD,0.1583937579609605,2022-06-01,2023-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-07-01,TRX-USD,0.16523041115922626,2022-07-01,2023-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-08-01,TRX-USD,0.1690434282651275,2022-08-01,2023-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-09-01,TRX-USD,0.1700997220689019,2022-09-01,2023-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-10-01,TRX-USD,0.16431503337007464,2022-10-01,2023-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-11-01,TRX-USD,0.16284484707921634,2022-11-01,2023-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-12-01,TRX-USD,0.15463550797589706,2022-12-01,2023-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-01-01,XLM-USD,0.09166967324392174,2020-01-02,2020-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-02-01,XLM-USD,0.08118579565403902,2020-02-02,2021-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-03-01,XLM-USD,0.08148539608908163,2020-03-01,2021-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-04-01,XLM-USD,0.07503999380333339,2020-04-01,2021-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-05-01,XLM-USD,0.07459736466815634,2020-05-01,2021-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-06-01,XLM-USD,0.08224785118913397,2020-06-01,2021-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-07-01,XLM-USD,0.08310898508540886,2020-07-01,2021-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-08-01,XLM-USD,0.08347895325418118,2020-08-01,2021-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-09-01,XLM-USD,0.08318707290788897,2020-09-01,2021-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-10-01,XLM-USD,0.08352025434142557,2020-10-01,2021-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-11-01,XLM-USD,0.08335641229788429,2020-11-01,2021-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-12-01,XLM-USD,0.08712160691829986,2020-12-01,2021-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-01-01,XLM-USD,0.08951333440131104,2021-01-01,2021-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-02-01,XLM-USD,0.09764773076451877,2021-02-01,2022-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-03-01,XLM-USD,0.09845149223283439,2021-03-01,2022-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-04-01,XLM-USD,0.09737094656773881,2021-04-01,2022-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-05-01,XLM-USD,0.09979968076581362,2021-05-01,2022-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-06-01,XLM-USD,0.09564334642652834,2021-06-01,2022-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-07-01,XLM-USD,0.09660817932465364,2021-07-01,2022-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-08-01,XLM-USD,0.09812021332207993,2021-08-01,2022-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-09-01,XLM-USD,0.10016116255428505,2021-09-01,2022-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-10-01,XLM-USD,0.100313979657455,2021-10-01,2022-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-11-01,XLM-USD,0.10236524115585381,2021-11-01,2022-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-12-01,XLM-USD,0.10066064865596591,2021-12-01,2022-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-01-01,XLM-USD,0.10209827675856592,2022-01-01,2022-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-02-01,XLM-USD,0.10290476240870845,2022-02-01,2023-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-03-01,XLM-USD,0.1035422581093456,2022-03-01,2023-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-04-01,XLM-USD,0.104396354276874,2022-04-01,2023-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-05-01,XLM-USD,0.1048538428040616,2022-05-01,2023-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-06-01,XLM-USD,0.10633950007191954,2022-06-01,2023-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-07-01,XLM-USD,0.10677272015870394,2022-07-01,2023-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-08-01,XLM-USD,0.08267138209629311,2022-08-01,2023-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-09-01,XLM-USD,0.07962257035050649,2022-09-01,2023-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-10-01,XLM-USD,0.07937073297132913,2022-10-01,2023-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-11-01,XLM-USD,0.07868604349048541,2022-11-01,2023-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-12-01,XLM-USD,0.07658464858508734,2022-12-01,2023-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-01-01,XRP-USD,0.09141378069167322,2020-01-02,2020-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-02-01,XRP-USD,0.09215749165362362,2020-02-02,2021-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
