date,horizon_days,cross_section_size,spearman_ic,high_sentiment_return,low_sentiment_return,high_minus_low_return
2021-10-01,1,48,-0.1742292661745549,0.004815953035580844,0.016333262617121844,-0.011517309581541
2021-10-04,1,48,-0.07468519322622666,-0.007435801837950684,-0.0037365413625960217,-0.0036992604753546625
2021-10-05,1,48,-0.1514329135909683,0.00879281171792432,0.012301668794257918,-0.003508857076333598
2021-10-06,1,48,0.46569691706469823,0.009316929773727223,-0.011437237879434674,0.020754167653161897
2021-10-07,1,48,0.016717325227963525,0.009650791630734734,0.009615753037516087,3.5038593218647204e-05
2021-10-08,1,48,-0.12776812852800695,-0.00388906086200973,0.001322049362539916,-0.005211110224549646
2021-10-11,1,48,0.15078158923143725,-0.010059503118664048,-0.018494408278231123,0.008434905159567074
2021-10-12,1,48,0.1773773339122883,0.0007569662512121322,-0.002321428870001246,0.003078395121213378
2021-10-13,1,48,-0.022796352583586622,0.004556126068124888,0.005038776214092877,-0.00048265014596798883
2021-10-14,1,48,-0.10898827616152842,0.014120711599417168,0.018357400327890645,-0.004236688728473477
2021-10-15,1,47,-0.05955134135060129,0.0034229026878063395,0.005241218524639102,-0.0018183158368327624
2021-10-18,1,46,0.20370027752081404,0.0065502697721487755,0.001511652073165738,0.005038617698983038
2021-10-19,1,46,-0.18828245451742212,0.00839630093299688,0.01310964714238009,-0.004713346209383211
2021-10-20,1,47,0.037927844588344126,0.011327242732029119,0.009093848348552695,0.002233394383476424
2021-10-21,1,48,0.17748588797221013,0.005633775812236663,-0.006744226201589777,0.012378002013826439
2021-10-22,1,48,0.30026052974381245,0.009005840861427061,0.0003987629494160736,0.008607077912010987
2021-10-25,1,48,-0.037234042553191495,0.01026019630104913,0.011195739965920333,-0.0009355436648712037
2021-10-26,1,48,0.061551822423405844,0.008734720659412554,0.002924178771254788,0.005810541888157766
2021-10-27,1,48,0.03354320451584889,-0.0139212088451383,-0.016973392758210193,0.0030521839130718924
2021-10-28,1,48,-0.1279852366478506,0.00545225573793916,0.005228722374323406,0.00022353336361575354
2021-10-29,1,48,0.014112027789839337,-0.004359985345843209,-0.009922569366167113,0.005562584020323904
2021-11-01,1,48,-0.13634389926183238,0.0035409232903391374,0.009730658329148656,-0.006189735038809518
2021-11-02,1,49,-0.17295918367346938,-0.0013347214673035568,0.008279893746260085,-0.009614615213563642
2021-11-03,1,49,-0.1833673469387755,0.002454079741846471,0.01081074194294872,-0.008356662201102249
2021-11-04,1,49,0.02071428571428571,0.002872297185969053,-0.002541242609377714,0.005413539795346767
2021-11-05,1,49,-0.16546340473253288,0.001701692696678092,0.012998419354712834,-0.011296726658034743
2021-11-08,1,49,-0.05035842752729262,-0.0016838683607074746,0.005760685735382342,-0.007444554096089816
2021-11-09,1,49,0.19061224489795917,0.002012504867457665,-0.003868929440987872,0.005881434308445538
2021-11-10,1,49,-0.14887755102040814,-0.012983045257417536,0.002392294964367806,-0.015375340221785341
2021-11-11,1,49,0.05755102040816326,0.004193676749111763,0.0001080142076303408,0.0040856625414814225
2021-11-12,1,49,0.16367346938775507,0.00786726587462976,0.001763515147836508,0.006103750726793251
2021-11-15,1,49,-0.003775510204081632,-0.008665172282427736,-0.0014750426449450485,-0.007190129637482688
2021-11-16,1,49,0.009897959183673467,0.0006699651987211452,0.0018961130205821242,-0.001226147821860979
2021-11-17,1,49,0.019999999999999997,-0.0058152872362979054,-0.013163304848429215,0.007348017612131309
2021-11-18,1,48,0.17726877985236647,-0.004417015727814255,-0.008428153979307011,0.004011138251492756
2021-11-19,1,48,0.1435084672166739,-0.006617527839778137,-0.00707081946322431,0.0004532916234461738
2021-11-22,1,48,-0.22459834997828917,-0.0020174606307564514,0.008959037455690377,-0.010976498086446828
2021-11-23,1,48,0.023990447242726875,0.00868924370515033,0.007556357449555789,0.0011328862555945408
2021-11-24,1,47,0.3825161887141536,0.006765264203115895,-0.00412421156248852,0.010889475765604416
2021-11-26,1,47,0.038737280296022206,-0.019872799963845233,-0.021113786400447736,0.0012409864366025036
2021-11-29,1,47,0.3012257169287697,0.014205906259035728,0.008121645132470823,0.006084261126564905
2021-11-30,1,47,0.24051803885291398,-0.019089489033500173,-0.023083030169614684,0.003993541136114512
2021-12-01,1,47,0.13980111008325624,-0.006544723113319972,-0.01402174365873015,0.007477020545410178
2021-12-02,1,47,0.01156336725254394,0.018062678645305842,0.019640961897064286,-0.0015782832517584437
2021-12-03,1,48,0.030178028658271818,0.004200578865742277,-0.0032019129478250263,0.0074024918135673036
2021-12-06,1,48,0.09867564046895352,0.019145217784945046,0.013053770892303961,0.006091446892641085
2021-12-07,1,49,0.01806122448979592,0.01642128910755918,0.011759432799112056,0.004661856308447123
2021-12-08,1,49,0.031224489795918367,-0.003158907257325083,-0.005959463616000391,0.0028005563586753083
2021-12-09,1,48,-0.03386886669561442,-0.004175098048326298,-0.00513935613059122,0.0009642580822649214
2021-12-10,1,48,0.1801997394702562,0.011020672347458571,0.0026013249754401275,0.008419347372018444
2021-12-13,1,48,0.2523881893182805,0.00502871245374501,-0.007786720933253079,0.01281543338699809
2021-12-14,1,48,-0.34748154580981333,-0.005844559946379358,0.004961797017987306,-0.010806356964366663
2021-12-15,1,48,0.002713851498046027,0.008298591155866031,0.008741521484140029,-0.00044293032827399763
2021-12-16,1,49,-0.0680612244897959,0.01363840835945256,0.014724951249295317,-0.0010865428898427579
2021-12-17,1,49,0.007346938775510204,-0.011120730365264796,-0.009536666986519523,-0.0015840633787452731
2021-12-20,1,49,0.14122448979591834,-0.0071631215165701475,-0.019296055648804482,0.012132934132234334
2021-12-21,1,50,-0.12403361344537814,0.013396071767403784,0.017032023193449198,-0.0036359514260454143
2021-12-22,1,50,-0.10184873949579833,0.006095176585384487,0.009736514796823447,-0.00364133821143896
2021-12-23,1,50,-0.2485954381752701,-0.00038819887397155694,0.005994377371386683,-0.00638257624535824
2021-12-27,1,50,0.03010804321728691,0.01349411356652368,0.00891772344208921,0.004576390124434471
2021-12-28,1,50,-0.04576230492196878,0.0017764165818700771,0.0026334478839395324,-0.0008570313020694552
2021-12-29,1,49,0.016326530612244896,0.0034837203225921098,9.733677395363916e-05,0.0033863835486384708
2021-12-30,1,49,0.09214285714285714,0.0009340667144449255,-0.0025139584886641536,0.003448025203109079
2021-12-31,1,49,0.17795918367346936,0.0016808225550003497,-0.0013029193120910085,0.002983741867091358
2022-01-03,1,49,-0.11214285714285713,0.005001165095487337,0.0032072111535647535,0.0017939539419225834
2022-01-04,1,50,-0.06429771908763504,4.918258718877855e-05,0.001790137481074272,-0.0017409548938854935
2022-01-05,1,50,0.09868184112907116,-0.006867752809224981,-0.008317333848825692,0.0014495810396007109
2022-01-06,1,50,-0.040384153661464584,-0.00966666389803712,-0.0050495042190561775,-0.004617159678980942
2022-01-07,1,49,-0.09306122448979591,-0.000644261709614935,-0.0023095199640330577,0.0016652582544181226
2022-01-10,1,49,-0.02724489795918367,-0.015439602449943957,-0.0065572197050160425,-0.008882382744927916
2022-01-11,1,49,-0.1723469387755102,0.0048271732972942185,0.011793047424583461,-0.006965874127289243
2022-01-12,1,49,0.3081632653061224,0.00563842611087968,-0.00690252786849705,0.01254095397937673
2022-01-13,1,49,-0.033163265306122444,-0.006667260474635417,-0.0040952390275955895,-0.0025720214470398278
2022-01-14,1,49,0.05928571428571428,-0.0035737043550865487,-0.004558051767379247,0.0009843474122926987
2022-01-18,1,50,-0.20470588235294118,-0.012380345656277792,-0.014315466860189141,0.0019351212039113493
2022-01-19,1,50,-0.06468187274909963,-0.003977461599331744,-0.002531860252807161,-0.0014456013465245828
2022-01-20,1,50,0.004561824729891957,-0.012058409975969542,-0.011594113245489302,-0.00046429673048024
2022-01-21,1,50,0.131140456182473,-0.004076271598105285,-0.010424204228989131,0.006347932630883846
2022-01-24,1,50,-0.057382953181272504,0.0009490311105330718,0.0006090140152534285,0.0003400170952796433
2022-01-25,1,50,-0.25118847539015604,-0.011493782029847289,0.007205866898111035,-0.018699648927958324
2022-01-26,1,50,0.19116446578631452,-0.007182150102711049,-0.017229272853766908,0.010047122751055858
2022-01-27,1,50,-0.09426170468187275,-0.008108225041693517,-0.0030538681116699996,-0.005054356930023518
2022-01-28,1,50,0.09589435774309724,0.013975028278253265,0.012617893199035956,0.0013571350792173087
2022-01-31,1,50,-0.12653061224489795,0.009391675706955182,0.01786007424467717,-0.008468398537721989
2022-02-01,1,50,-0.16878751500600236,0.013831313319463578,0.010715256371876425,0.0031160569475871536
2022-02-02,1,50,0.3591356542617047,0.01389427693723153,-0.002016079597505982,0.01591035653473751
