date,ticker,signal_z,coverage_window,signal_observations,coverage_21d,signal_lookback
2021-11-09,SO,0.782020737504487,0.3333333333333333,7,0.3333333333333333,21
2021-11-09,T,-0.3084854300424357,0.9047619047619048,19,0.9047619047619048,21
2021-11-09,TMUS,-0.837107823649322,0.7142857142857143,15,0.7142857142857143,21
2021-11-09,TTWO,0.3395848470456131,0.6190476190476191,13,0.6190476190476191,21
2021-11-09,UPS,0.9224582435360074,0.7619047619047619,16,0.7619047619047619,21
2021-11-09,USB,-0.6003875800498659,0.42857142857142855,9,0.42857142857142855,21
2021-11-09,V,-0.5436247855230493,1.0,21,1.0,21
2021-11-09,WFC,-0.2795201541474551,0.9047619047619048,19,0.9047619047619048,21
2021-11-09,WMT,-0.30349431835056484,0.9523809523809523,20,0.9523809523809523,21
2021-11-09,XOM,-0.5222460049305403,1.0,21,1.0,21
2021-11-10,ABBV,0.1179627907193039,0.8571428571428571,18,0.8571428571428571,21
2021-11-10,ABT,0.7306275267064807,0.8571428571428571,18,0.8571428571428571,21
2021-11-10,ADBE,0.6921880024104928,0.8571428571428571,18,0.8571428571428571,21
2021-11-10,AEP,-0.9873621664894738,0.38095238095238093,8,0.38095238095238093,21
2021-11-10,AMD,0.03132199320169683,1.0,21,1.0,21
2021-11-10,AMGN,0.07459611993655339,0.6666666666666666,14,0.6666666666666666,21
2021-11-10,AMT,1.5388247527864514,0.38095238095238093,8,0.38095238095238093,21
2021-11-10,BA,0.0,0.0,0,0.0,21
2021-11-10,CAT,0.11656149985097462,0.7619047619047619,16,0.7619047619047619,21
2021-11-10,CCI,-1.772605262654619,0.3333333333333333,7,0.3333333333333333,21
2021-11-10,CMCSA,1.206081620331101,0.8571428571428571,18,0.8571428571428571,21
2021-11-10,COP,0.9081824086856256,0.8095238095238095,17,0.8095238095238095,21
2021-11-10,CVX,0.7370373944718297,1.0,21,1.0,21
2021-11-10,D,-0.1293721110482865,0.5714285714285714,12,0.5714285714285714,21
2021-11-10,DD,-1.2816084266914942,0.3333333333333333,7,0.3333333333333333,21
2021-11-10,DIS,0.2782164599473557,1.0,21,1.0,21
2021-11-10,DOW,-2.5,0.38095238095238093,8,0.38095238095238093,21
2021-11-10,DUK,-0.1616075370382207,0.47619047619047616,10,0.47619047619047616,21
2021-11-10,EA,2.312061648326633,0.7142857142857143,15,0.7142857142857143,21
2021-11-10,GE,-0.04545987227815458,0.8571428571428571,18,0.8571428571428571,21
2021-11-10,GILD,-0.3719518145166691,0.8095238095238095,17,0.8095238095238095,21
2021-11-10,GS,-0.3319393204102736,0.9523809523809523,20,0.9523809523809523,21
2021-11-10,INTC,0.16817201817559982,0.9523809523809523,20,0.9523809523809523,21
2021-11-10,KO,0.21710131164652763,0.6666666666666666,14,0.6666666666666666,21
2021-11-10,MMM,-1.1312598806489818,0.7619047619047619,16,0.7619047619047619,21
2021-11-10,MRK,0.253936450851699,1.0,21,1.0,21
2021-11-10,MS,0.4294044980047893,0.8571428571428571,18,0.8571428571428571,21
2021-11-10,NEE,0.25533079969175676,0.6190476190476191,13,0.6190476190476191,21
2021-11-10,NEM,0.3202997651653969,0.5714285714285714,12,0.5714285714285714,21
2021-11-10,NKE,0.911722784548745,0.9047619047619048,19,0.9047619047619048,21
2021-11-10,NUE,-0.7105276437060433,0.6190476190476191,13,0.6190476190476191,21
2021-11-10,NVDA,0.3003821851923121,1.0,21,1.0,21
2021-11-10,O,1.5088808232098863,0.6666666666666666,14,0.6666666666666666,21
2021-11-10,OXY,1.1156249684027906,0.6666666666666666,14,0.6666666666666666,21
2021-11-10,PLD,0.16288016447242123,0.2857142857142857,6,0.2857142857142857,21
2021-11-10,PSA,0.7299852675390863,0.38095238095238093,8,0.38095238095238093,21
2021-11-10,QCOM,0.07131937494078827,0.8095238095238095,17,0.8095238095238095,21
2021-11-10,SBUX,-0.25678700562005263,0.9523809523809523,20,0.9523809523809523,21
2021-11-10,SHW,-2.5,0.3333333333333333,7,0.3333333333333333,21
2021-11-10,SLB,-0.09593129353013313,0.47619047619047616,10,0.47619047619047616,21
2021-11-10,SO,1.226010442166608,0.2857142857142857,6,0.2857142857142857,21
2021-11-10,T,-0.03194801000820149,0.9047619047619048,19,0.9047619047619048,21
2021-11-10,TMUS,-0.8897961300397466,0.6666666666666666,14,0.6666666666666666,21
2021-11-10,TTWO,0.11716355851596766,0.6190476190476191,13,0.6190476190476191,21
2021-11-10,UPS,0.2053277199755506,0.7619047619047619,16,0.7619047619047619,21
2021-11-10,USB,-1.0169527093859454,0.38095238095238093,8,0.38095238095238093,21
2021-11-10,V,-0.6211205613051525,1.0,21,1.0,21
2021-11-10,WFC,-0.14194586496448622,0.9047619047619048,19,0.9047619047619048,21
2021-11-10,WMT,-0.26818876049163093,0.9523809523809523,20,0.9523809523809523,21
2021-11-10,XOM,-0.22942338530083434,1.0,21,1.0,21
2021-11-11,ABBV,-0.14872408770528195,0.8571428571428571,18,0.8571428571428571,21
2021-11-11,ABT,0.861207733507278,0.8095238095238095,17,0.8095238095238095,21
2021-11-11,ADBE,0.386030400211203,0.8571428571428571,18,0.8571428571428571,21
2021-11-11,AEP,-0.9750177559910316,0.38095238095238093,8,0.38095238095238093,21
2021-11-11,AMD,-0.021201796490794407,1.0,21,1.0,21
2021-11-11,AMGN,0.14147335474589665,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,AMT,2.1835343829211444,0.3333333333333333,7,0.3333333333333333,21
2021-11-11,BA,0.0,0.0,0,0.0,21
2021-11-11,CAT,-0.31291225067770234,0.8095238095238095,17,0.8095238095238095,21
2021-11-11,CCI,-1.8005840214857705,0.3333333333333333,7,0.3333333333333333,21
2021-11-11,CMCSA,0.7064028553949103,0.8571428571428571,18,0.8571428571428571,21
2021-11-11,COP,1.041847048210758,0.8095238095238095,17,0.8095238095238095,21
2021-11-11,CVX,0.3292600802647506,1.0,21,1.0,21
2021-11-11,D,-0.07296888811631691,0.5714285714285714,12,0.5714285714285714,21
2021-11-11,DD,-1.2843739125202787,0.3333333333333333,7,0.3333333333333333,21
2021-11-11,DIS,0.23717789181712545,1.0,21,1.0,21
2021-11-11,DOW,-2.5,0.38095238095238093,8,0.38095238095238093,21
2021-11-11,DUK,-0.10685964166908053,0.47619047619047616,10,0.47619047619047616,21
2021-11-11,EA,2.20873282005027,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,GE,0.15320307104186737,0.9047619047619048,19,0.9047619047619048,21
2021-11-11,GILD,-1.0872416789201895,0.8095238095238095,17,0.8095238095238095,21
2021-11-11,GS,-0.2875921007173753,0.9523809523809523,20,0.9523809523809523,21
2021-11-11,INTC,0.13528520551586676,0.9523809523809523,20,0.9523809523809523,21
2021-11-11,KO,-0.22520105883361755,0.6666666666666666,14,0.6666666666666666,21
2021-11-11,MMM,-1.5476402472131225,0.8095238095238095,17,0.8095238095238095,21
2021-11-11,MRK,0.24421961264543873,1.0,21,1.0,21
2021-11-11,MS,0.5720249860432322,0.8571428571428571,18,0.8571428571428571,21
