fund_id,fund_name,method,rebalance_date,equity_capital_weight,crypto_capital_weight,equity_risk_contribution,crypto_risk_contribution,risk_contribution_sum,ex_ante_annualized_volatility,active_holdings,effective_holdings,top_5_weight,hhi,mean_filled_cells
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-09-01,0.9999999999997463,0.0,1.0,0.0,1.0,0.20109272293151553,10,9.296031748062163,0.5999999999997989,0.10757278235505796,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-10-03,0.939415647551203,0.060584352448797014,0.9224299863408942,0.07757001365910565,0.9999999999999998,0.23640782840454116,60,12.973077086051783,0.6,0.07708271471501286,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-11-01,0.9999999999998965,0.0,0.9999999999999999,0.0,1.0,0.21686413296734733,10,8.63102836863764,0.5999999999999162,0.11586104891436527,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-12-01,0.9999999999994337,0.0,1.0,0.0,1.0,0.1775804975335016,10,9.02020259890792,0.5999999999995491,0.11086225492552355,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-01-03,0.9999999999998036,0.0,1.0,0.0,1.0,0.2211570418892864,9,8.561643835618074,0.6,0.11679999999997767,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-02-01,0.999999999998497,0.0,1.0000000000000002,0.0,1.0,0.19224144313626743,12,9.093452608267146,0.5999999999995347,0.10996923204843762,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-03-01,0.9999999999957884,0.0,1.0,0.0,1.0,0.20891120932563503,13,9.870494635593184,0.599999999998195,0.10131204533499077,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-04-03,0.9999999999999262,0.0,1.0,0.0,0.9999999999999999,0.19580815900460616,10,8.614758761745588,0.5999999999999632,0.11607986104504364,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-05-01,0.9999999999999044,0.0,1.0,0.0,1.0,0.1954612412109903,14,10.526175533081267,0.5999999999999034,0.09500126583080795,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-06-01,0.8799999999997423,0.11999999999996719,0.761816146686091,0.23818385331390887,0.9999999999999999,0.2223091791181534,9,8.561643835621219,0.599999999999836,0.11679999999993478,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2023-07-03,0.9048623485183805,0.09513765148160955,0.8047058826480777,0.19529411735192218,0.9999999999999999,0.179419578423863,16,11.51758362561064,0.5814190490809366,0.08682376725065731,0
